country,year,cereal_yield,fdi_perc_gdp,en_per_gdp,en_per_cap,co2_ttl,co2_per_cap,co2_per_gdp,pop_urb_aggl_perc,prot_area_perc,gdp,gni_per_cap,under_5_mort_rate,pop_growth_perc,pop,urb_pop_growth_perc,urb_pop
BGD,1991,2585.7,0.0044914699288844,154.496129842966,116.511475882494,15940.449,0.147913464227,196.135681928746,9.44370431543193,1.5379218511,30957444767.4221,300.0,137.9,2.35919934068732,107768749.0,4.26020706318464,21747733.5482
BGD,1992,2625.6,0.011737580425406,155.245749548746,120.235439050409,17748.28,0.16101783293357,207.903213577542,9.63012433913351,1.53794804362,31708863729.9733,320.0,132.1,2.25410478995121,110225555.0,4.11964735610133,22662374.108
BGD,1993,2647.7,0.0423616413870901,156.704433798828,124.190375715098,17407.249,0.154531296689631,194.988856523795,9.82758470692028,1.53797419188,33166530060.0412,320.0,125.6,2.17165978596285,112645460.0,4.0030362715055,23587959.324
BGD,1994,2475.8,0.0330122304430682,157.245677445314,126.988771805495,18969.391,0.164866620838011,204.148470082856,10.0352640773085,1.53800029733,33768661426.807,320.0,119.5,2.11998064012738,115059015.0,3.9184200256527,24530581.998
BGD,1995,2593.1,0.0049983776360477,163.051742088556,135.307621224185,22816.074,0.194200918583708,234.020802404082,10.2509970639123,1.53802635923,37939752959.8665,330.0,113.9,2.08821099619584,117486952.0,3.85487712107284,25494668.584
BGD,1996,2694.1,0.0332706101716021,156.769563871558,133.336185584029,24029.851,0.200367840280276,235.581802471986,10.4756625275011,1.60036178336,40666015641.0564,350.0,107.3,2.05699688296749,119928682.0,3.79299296921555,26480252.9856
BGD,1997,2682.4,0.329348086267395,155.399259428918,136.512118865867,25063.945,0.204820319174727,233.158243972621,10.7088656069883,1.60039366504,42318798537.7145,360.0,101.5,2.01552858437685,122370403.0,3.72190137451712,27484392.5138
BGD,1998,2865.3,0.431054233714549,153.861565681966,139.454308402344,24040.852,0.192629859754327,212.53077196717095,10.9534542866561,1.60042550603,44091754148.1823,360.0,96.3,1.96867712533918,124803351.0,3.64642067309043,28505085.3684
BGD,1999,3116.4,0.393186601641826,148.747418142414,138.703612418932,25232.627,0.198346567127337,212.709238375794,11.2102109218531,1.60042550603,45694072379.3677,370.0,91.2,1.91380120919952,127214841.0,3.56386035739311,29539286.0802
BGD,2000,3384.3,0.594981587617097,148.023364631718,143.550832794625,27865.533,0.215024645566258,221.724046428883,11.4812345103132,1.60042550603,47124925462.1348,380.0,85.7,1.85158570317757,129592275.0,3.47485927935945,30583776.9
BGD,2001,3311.0,0.167122036935599,152.799924383491,153.217126365717,32449.283,0.245931147882508,245.26149061362705,11.7640804415284,1.64126216308,46987842846.553,380.0,80.6,1.79888405960722,131944584.0,3.56289452163453,31693089.0768
